name,tag
StudyTime,"(0008,0030)"
SeriesTime,"(0008,0031)"
AcquisitionTime,"(0008,0032)"
ContentTime,"(0008,0033)"
Modality,"(0008,0060)"
ModalitiesInStudy,"(0008,0061)"
PresentationIntentType,"(0008,0068)"
Manufacturer,"(0008,0070)"
TimezoneOffsetFromUTC,"(0008,0201)"
StudyDescription,"(0008,1030)"
SeriesDescription,"(0008,103E)"
ManufacturerModelName,"(0008,1090)"
PatientBirthDate,"(0010,0030)"
PatientAge,"(0010,1010)"
PatientSize,"(0010,1020)"
PatientBodyMassIndex,"(0010,1022)"
MeasuredAPDimension,"(0010,1023)"
PatientWeight,"(0010,1030)"
Allergies,"(0010,2110)"
EthnicGroup,"(0010,2160)"
Occupation,"(0010,2180)"
SmokingStatus,"(0010,21A0)"
PregnancyStatus,"(0010,21C0)"
LastMenstrualDate,"(0010,21D0)"
ContrastBolusAgent,"(0018,0010)"
BodyPartExamined,"(0018,0015)"
ScanningSequence,"(0018,0020)"
MRAcquisitionType,"(0018,0023)"
Radiopharmaceutical,"(0018,0031)"
SliceThickness,"(0018,0050)"
KVP,"(0018,0060)"
RepetitionTime,"(0018,0080)"
EchoTime,"(0018,0081)"
InversionTime,"(0018,0082)"
ImagingFrequency,"(0018,0084)"
MagneticFieldStrength,"(0018,0087)"
SoftwareVersions,"(0018,1020)"
ContrastBolusStartTime,"(0018,1042)"
ContrastBolusStopTime,"(0018,1043)"
RadiopharmaceuticalStartTime,"(0018,1072)"
RadionuclideTotalDose,"(0018,1074)"
FieldOfViewDimensions,"(0018,1149)"
ExposureTime,"(0018,1150)"
XRayTubeCurrent,"(0018,1151)"
Exposure,"(0018,1152)"
FilterType,"(0018,1160)"
ConvolutionKernel,"(0018,1210)"
ReceiveCoilName,"(0018,1250)"
FlipAngle,"(0018,1314)"
SpiralPitchFactor,"(0018,9311)"
CTDIvol,"(0018,9345)"
SeriesNumber,"(0020,0011)"
PatientOrientation,"(0020,0020)"
Location,"(0020,0050)"
ImageLaterality,"(0020,0062)"
TemporalPositionIdentifier,"(0020,0100)"
NumberOfTemporalPositions,"(0020,0105)"
TemporalResolution,"(0020,0110)"
NumberOfStudyRelatedSeries,"(0020,1206)"
NumberOfSeriesRelatedInstances,"(0020,1209)"
Rows,"(0028,0010)"
Columns,"(0028,0011)"
PixelSpacing,"(0028,0030)"
LossyImageCompression,"(0028,2110)"
AcquisitionDate,"(0040,A121)"
AttenuationCorrectionMethod,"(0054,1101)"
ReconstructionMethod,"(0054,1103)"
ScatterCorrectionMethod,"(0054,1105)"
